ASIN 或商品=["B0DHPN1DMJ"],报告范围=["每月"],选择年份=["2025"],选择月份=["12 月"]
搜索查询,搜索查询得分,搜索查询量,曝光：曝光总量,"曝光量：ASIN 计数","曝光：ASIN 曝光占比 %",点击量：总次数,"点击量：点击率 %","点击量：ASIN 数量","点击量：ASIN 份额 %","点击量：价格(中位数)","点击量：ASIN 售价（中位数）",点击量：当日达配送速度,"点击量：1 天配送速度",点击：2天配送速度,购物车添加：总数,"加入购物车：加购率%","加购：ASIN 数量","加入购物车：ASIN 加购占比 %",加入购物车：售价（中位数）,"加入购物车：ASIN 价格（中位数）",购物车添加：当日达配送速度,"加入购物车：1 天配送速度","购物车添加：2 天配送速度",购买：下单总数,"下单成交：成交转化率%","下单成交：ASIN 数量","下单: ASIN 占比 %",购买次数：价格（中位数）,"购买：ASIN 价格（中位数）",下单成交：当日达配送速度,"下单成交：1 天配送速度",下单：2天配送速度,报告日期
"karoke machine","24","7092","200562","8031","4.0","2951","41.61","52","1.76","59.99","223.99","188","465","662","935","13.18","8","0.86","56.51","223.99","72","163","194","315","4.44","3","0.95","59.99","223.99","37","68","66","2025-12-31"
"ikarao s2","43","120","3051","197","6.46","79","65.83","52","65.82","249.99","223.99","3","15","14","13","10.83","8","61.54","249.99","223.99","1","1","1","5","4.17","5","100.0","223.99","223.99","1","0","0","2025-12-31"
"ikaro karaoke machine","15","746","19923","1303","6.54","345","46.25","96","27.83","249.99","223.99","9","39","76","94","12.6","31","32.98","223.99","223.99","1","16","24","43","5.76","12","27.91","262.49","223.99","1","6","12","2025-12-31"
"singing machine","84","7815","197992","2460","1.24","2417","30.93","20","0.83","75.99","223.99","95","318","598","454","5.81","3","0.66","63.99","223.99","27","71","109","122","1.56","1","0.82","59.99","249.99","7","20","34","2025-12-31"
"karaoke system connect to tv","56","2276","52172","3083","5.91","665","29.22","23","3.46","79.99","223.99","32","143","138","84","3.69","4","4.76","69.99","223.99","8","20","18","28","1.23","2","7.14","69.99","223.99","4","7","7","2025-12-31"
"best karaoke machine","40","2379","62708","3001","4.79","901","37.87","36","4.0","99.99","223.99","51","149","236","179","7.52","6","3.35","89.99","223.99","17","33","40","40","1.68","3","7.5","119.99","223.99","3","11","10","2025-12-31"
"portable karaoke system","77","1544","39764","1462","3.68","574","37.18","24","4.18","69.99","223.99","31","97","127","165","10.69","5","3.03","59.99","223.99","10","35","35","54","3.5","2","3.7","59.99","223.99","5","16","15","2025-12-31"
"korean karaoke machine","92","1684","47351","2097","4.43","395","23.46","37","9.37","299.0","223.99","16","37","66","24","1.43","2","8.33","223.99","223.99","2","2","7","6","0.36","0","0.0","103.42",,"0","0","3","2025-12-31"
"best karaoke machine for adults","23","4190","110196","5420","4.92","1506","35.94","70","4.65","123.48","223.99","92","249","336","339","8.09","16","4.72","113.99","223.99","23","60","87","84","2.0","3","3.57","99.99","223.99","5","25","20","2025-12-31"
"karaoke machine for adults with screen","35","2344","58022","2860","4.93","1021","43.56","43","4.21","131.13","223.99","35","107","228","139","5.93","8","5.76","139.99","223.99","3","17","34","37","1.58","4","10.81","167.99","223.99","1","4","14","2025-12-31"
"the best karaoke system","70","2098","48005","3053","6.36","654","31.17","21","3.21","123.48","223.99","30","127","185","77","3.67","3","3.9","89.99","223.99","7","19","20","25","1.19","1","4.0","69.99","223.99","4","7","4","2025-12-31"
"jbl karaoke machine with 2 microphones","63","15278","320451","2667","0.83","6656","43.57","28","0.42","279.95","223.99","216","894","1627","1117","7.31","5","0.45","279.95","223.99","65","171","265","163","1.07","1","0.61","199.95","223.99","18","33","37","2025-12-31"
"bluetooth karaoke machine","69","7311","175904","2689","1.53","2773","37.93","24","0.87","53.68","223.99","198","415","590","826","11.3","4","0.48","47.48","223.99","78","142","172","239","3.27","1","0.42","42.99","249.99","29","44","53","2025-12-31"
"magic sing","34","5800","144111","3884","2.7","2230","38.45","49","2.2","499.0","223.99","49","234","420","207","3.57","7","3.38","499.0","223.99","6","23","41","39","0.67","3","7.69","449.99","223.99","2","7","12","2025-12-31"
"shell s2","65","76","1908","89","4.66","42","55.26","25","59.52","223.99","223.99","2","6","14","8","10.53","7","87.5","223.99","223.99","1","1","1","4","5.26","4","100.0","223.99","223.99","0","1","1","2025-12-31"
"ikarao shell s3","29","599","12541","1073","8.56","289","48.25","70","24.22","223.99","223.99","5","18","36","37","6.18","11","29.73","223.99","223.99","1","1","4","12","2.0","6","50.0","223.99","223.99","0","0","3","2025-12-31"
"portable karaoke machine with 2 wireless microphones","58","4901","126294","3026","2.4","2106","42.97","40","1.9","29.99","223.99","199","450","424","704","14.36","7","0.99","26.99","223.99","61","177","164","220","4.49","0","0.0","26.99",,"21","54","62","2025-12-31"
"karaoke for tv","76","2908","71037","2911","4.1","1034","35.56","30","2.9","79.99","223.99","68","199","278","190","6.53","4","2.11","79.99","223.99","14","50","52","48","1.65","0","0.0","87.69",,"4","15","18","2025-12-31"
"karaoke machine for adults connect to tv","100","837","23991","1078","4.49","331","39.55","10","3.02","119.99","223.99","13","66","69","58","6.93","3","5.17","101.96","223.99","4","16","16","15","1.79","2","13.33","119.99","223.99","1","5","3","2025-12-31"
"karaoke machines","45","4989","131428","4397","3.35","1884","37.76","33","1.75","69.99","223.99","77","261","356","433","8.68","5","1.15","59.99","223.99","22","72","91","116","2.33","1","0.86","59.99","223.99","11","26","27","2025-12-31"
"ikarao shell s2","8","767","20900","1338","6.4","378","49.28","252","66.67","223.99","223.99","18","45","66","80","10.43","63","78.75","223.99","223.99","4","14","15","46","6.0","37","80.43","223.99","223.99","3","7","12","2025-12-31"
"karaoke machine portable","59","2485","63750","1882","2.95","1024","41.21","32","3.13","39.99","223.99","70","181","248","323","13.0","7","2.17","39.99","223.99","28","75","78","117","4.71","2","1.71","42.99","223.99","12","32","41","2025-12-31"
"ikaro shell s2","81","78","691","95","13.75","27","34.62","20","74.07","223.99","223.99","2","0","7","7","8.97","7","100.0","223.99","223.99","0","0","2","3","3.85","3","100.0","223.99","223.99","0","0","0","2025-12-31"
