ASIN 或商品=["B0FNCQW2K3"],报告范围=["每月"],选择年份=["2025"],选择月份=["11 月"]
搜索查询,搜索查询得分,搜索查询量,曝光：曝光总量,"曝光量：ASIN 计数","曝光：ASIN 曝光占比 %",点击量：总次数,"点击量：点击率 %","点击量：ASIN 数量","点击量：ASIN 份额 %","点击量：价格(中位数)","点击量：ASIN 售价（中位数）",点击量：当日达配送速度,"点击量：1 天配送速度",点击：2天配送速度,购物车添加：总数,"加入购物车：加购率%","加购：ASIN 数量","加入购物车：ASIN 加购占比 %",加入购物车：售价（中位数）,"加入购物车：ASIN 价格（中位数）",购物车添加：当日达配送速度,"加入购物车：1 天配送速度","购物车添加：2 天配送速度",购买：下单总数,"下单成交：成交转化率%","下单成交：ASIN 数量","下单: ASIN 占比 %",购买次数：价格（中位数）,"购买：ASIN 价格（中位数）",下单成交：当日达配送速度,"下单成交：1 天配送速度",下单：2天配送速度,报告日期
"karaoke machine with hdmi output to tv","30","136","4114","90","2.19","72","52.94","4","5.56","89.99","179.99","3","27","25","8","5.88","2","25.0","91.19","179.99","0","4","4","2","1.47","1","50.0","179.99","179.99","0","1","1","2025-11-30"
"ikarao karaoke machine hdmi","54","1","20","2","10.0","1","100.0","1","100.0","179.99","179.99","0","1","0","1","100.0","1","100.0","179.99","179.99","0","1","0","1","100.0","1","100.0","179.99","179.99","0","1","0","2025-11-30"
"portable karaoke machine","90","14499","347209","499","0.14","6386","44.04","0","0.0","25.99",,"932","2382","1502","2091","14.42","0","0.0","24.99",,"346","786","462","502","3.46","0","0.0","23.74",,"87","192","118","2025-11-30"
"karaoke machine with built in screen","45","334","7753","218","2.81","154","46.11","8","5.19","123.48","170.99","12","38","38","14","4.19","2","14.29","159.99","170.99","3","1","4","0","0.0","0",,,,"0","0","0","2025-11-30"
"karaoke machine with screen lyrics display","28","1701","40211","998","2.48","648","38.1","9","1.39","119.99","170.99","51","184","191","108","6.35","1","0.93","151.99","170.99","6","33","38","16","0.94","0","0.0","159.97",,"1","3","5","2025-11-30"
"ikarao karaoke machine","4","10099","253180","9400","3.71","4792","47.45","137","2.86","265.98","170.99","321","1174","1463","937","9.28","26","2.77","265.98","170.99","72","268","295","311","3.08","9","2.89","265.98","170.99","23","103","105","2025-11-30"
"karaoke","19","121312","2823015","1213","0.04","38768","31.96","12","0.03","53.68","170.99","3947","10914","8594","8620","7.11","2","0.02","49.69","170.99","1125","2774","1923","1783","1.47","0","0.0","40.99",,"335","628","378","2025-11-30"
"karaoke machine with lyrics display for tv","78","232","5969","197","3.3","90","38.79","6","6.67","99.99","179.99","2","25","40","14","6.03","1","7.14","101.96","170.99","0","4","4","1","0.43","0","0.0","61.71",,"0","1","0","2025-11-30"
"kids katsoke wifi","55","2","44","2","4.55","2","100.0","1","50.0","56.51","179.99","0","2","0","1","50.0","1","100.0","179.99","179.99","0","1","0","1","50.0","1","100.0","179.99","179.99","0","1","0","2025-11-30"
"ikarao karaoke machine and connect to tv","53","1","22","2","9.09","1","100.0","1","100.0","170.99","170.99","0","0","1","1","100.0","1","100.0","170.99","170.99","0","0","1","1","100.0","1","100.0","170.99","170.99","0","0","1","2025-11-30"
"karaoke connect to tv","83","673","14829","230","1.55","265","39.38","3","1.13","79.99","219.99","21","95","65","36","5.35","1","2.78","61.71","170.99","4","13","11","10","1.49","0","0.0","49.99",,"1","6","0","2025-11-30"
"ikarao","5","4086","114419","2702","2.36","2011","49.22","54","2.69","265.98","170.99","130","436","556","257","6.29","10","3.89","265.98","170.99","16","51","82","66","1.62","6","9.09","265.98","170.99","5","14","20","2025-11-30"
"karaoke system for home","59","2235","54809","513","0.94","693","31.01","4","0.58","129.97","170.99","41","153","146","80","3.58","1","1.25","101.96","179.99","5","23","21","13","0.58","0","0.0","89.99",,"3","2","6","2025-11-30"
"karaoke systems","61","3856","95711","522","0.55","1097","28.45","3","0.27","78.86","170.99","91","300","257","268","6.95","1","0.37","61.71","170.99","30","71","56","56","1.45","0","0.0","55.99",,"8","17","12","2025-11-30"
"karaoke machine connect to tv","23","2899","74198","1035","1.39","1157","39.91","11","0.95","79.99","170.99","106","373","312","201","6.93","2","1.0","71.99","170.99","22","75","54","40","1.38","0","0.0","72.99",,"3","17","12","2025-11-30"
"karaoke machine with lyrics display for kids","38","265","7033","147","2.09","110","41.51","2","1.82","49.99","170.99","1","25","34","17","6.42","1","5.88","119.99","170.99","0","6","3","6","2.26","1","16.67","36.99","170.99","0","2","2","2025-11-30"
"karaoke with screen","21","1423","33801","727","2.15","525","36.89","15","2.86","151.99","170.99","29","98","128","58","4.08","3","5.17","159.99","170.99","4","9","18","9","0.63","0","0.0","159.99",,"1","3","1","2025-11-30"
"ikarao s3 hdmi","27","10","124","11","8.87","7","70.0","6","85.71","170.99","170.99","0","2","3","3","30.0","3","100.0","170.99","170.99","0","1","1","1","10.0","1","100.0","170.99","170.99","0","0","0","2025-11-30"
"karokee machine with bluetooth and wireless microphone for adults","16","32227","794296","1318","0.17","12878","39.96","9","0.07","56.51","179.99","1526","4188","3323","3796","11.78","3","0.08","53.86","179.99","548","1301","944","907","2.81","0","0.0","53.68",,"161","342","195","2025-11-30"
"ikarao shell s3 karaoke machine with hdmi","49","2","120","4","3.33","2","100.0","1","50.0","170.99","170.99","0","1","1","1","50.0","1","100.0","170.99","170.99","0","1","0","1","50.0","1","100.0","170.99","170.99","0","1","0","2025-11-30"
"karaoke machine for adults with screen","10","1659","39025","1238","3.17","674","40.63","39","5.79","151.99","170.99","38","111","180","106","6.39","8","7.55","159.99","170.99","5","21","31","15","0.9","1","6.67","130.86","179.99","2","1","5","2025-11-30"
"karaoke machine with screen display","96","136","2901","91","3.14","60","44.12","3","5.0","149.89","175.0","1","12","21","9","6.62","1","11.11","159.98","175.0","0","1","3","1","0.74","0","0.0","149.89",,"0","0","1","2025-11-30"
"karaoke with autotune","66","1178","31528","661","2.1","468","39.73","4","0.85","123.48","170.99","45","117","132","40","3.4","0","0.0","99.99",,"7","13","8","6","0.51","0","0.0","99.99",,"1","3","1","2025-11-30"
"kareoke with display","52","3","58","3","5.17","2","66.67","1","50.0","129.99","170.99","1","1","0","1","33.33","1","100.0","170.99","170.99","1","0","0","1","33.33","1","100.0","170.99","170.99","1","0","0","2025-11-30"
"karaoke machine with tv connectivity","48","13","263","12","4.56","5","38.46","1","20.0","170.99","170.99","0","2","3","1","7.69","1","100.0","170.99","170.99","0","1","0","1","7.69","1","100.0","170.99","170.99","0","1","0","2025-11-30"
"karaoke machine with tablet","64","134","3204","106","3.31","62","46.27","6","9.68","129.99","179.99","2","16","18","8","5.97","2","25.0","179.99","179.99","2","1","3","1","0.75","0","0.0","349.97",,"0","1","0","2025-11-30"
"speaker with screen display","77","749","15289","309","2.02","232","30.97","3","1.29","229.99","170.99","19","43","44","19","2.54","1","5.26","239.99","170.99","3","2","4","0","0.0","0",,,,"0","0","0","2025-11-30"
"karaoke machine for tv","7","10507","260526","5206","2.0","3819","36.35","26","0.68","99.99","179.99","346","1097","1082","624","5.94","3","0.48","85.19","179.99","76","206","160","115","1.09","2","1.74","85.19","179.99","18","43","29","2025-11-30"
